teamSeasonName,districtSystemTeamName,district
Bessie Carmichael Juniors-2021 Fall,Bessie Carmichael Juniors 2021-2022,district_1
Bessie Carmichael Select-2021 Fall,Bessie Carmichael Select 2021-2022,district_1
Bret Harte Juniors-2021 Fall,Bret Harte Juniors 2021-2022,district_1
Bret Harte Select-2021 Fall,Bret Harte Select 2021-2022,district_1
Bryant Select-2021 Fall,Bryant Select 2021-2022,district_1
Cleveland Select-2021 Fall,Cleveland Select 2021-2022,district_1
ER Taylor Juniors-2021 Fall,ER Taylor Juniors 2021-2022,district_1
ER Taylor Select-2021 Fall,ER Taylor Select 2021-2022,district_1
Everett Middle School-2021 Fall,Everett 2021-2022,district_1
Francisco Boys fall 2021-2021 Fall,Francisco Middle School 2021-2022,district_1
Hillcrest Juniors-2021 Fall,Hillcrest Juniors 2021-2022,district_1
Hillcrest Select-2021 Fall,Hillcrest Select 2021-2022,district_1
IHDC Select-2021 Fall,IHDC Select 2021-2022,district_1
J Serra Juniors-2021 Fall,J Serra Juniors 2021-2022,district_1
IHDC Select-2022 Spring,J Serra Select 2021-2022,district_1
John Muir-2021 Fall,John Muir 2021-2022,district_1
Joseph Lee Rec Center-2021 Fall,Joseph Lee Rec Center 2021-2022,district_1
MLK Coed-2021 Fall,MLK Coed 2021-2022,district_1
Paul Revere Juniors-2021 Fall,Paul Revere Juniors 2021-2022,district_1
Paul Revere Middle-2021 Fall,Paul Revere Middle 2021-2022,district_1
Paul Revere Select-2021 Fall,Paul Revere Select 2021-2022,district_1
Salvation Army KROC-2021 Fall,Salvation Army KROC 2021-2022,district_1
Sanchez Juniors-2021 Fall,Sanchez Juniors 2021-2022,district_1
Sanchez Select-2021 Fall,Sanchez Select 2021-2022,district_1
TECA MS Boys-2021 Fall,TECA MS Boys 2021-2022,district_1
TECA MS Girls-2021 Fall,TECA MS Girls 2021-2022,district_1
Up on Top - Program Site Select-2021 Fall,Up on Top 2021-2022,district_1